{'P101': '', 'P103': '', 'P102': ''}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '0', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '0', 'P103': '1', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '1'}
{'P101': '1', 'P103': '0', 'P102': '0'}
{'P101': '1', 'P103': '0', 'P102': '0'}
